Kraj,Kliknięcia,Wyświetlenia,CTR,Pozycja
Ukraina,1,4,25%,8.5
Polska,1,2,50%,1.5
Stany Zjednoczone,0,367,0%,47.75
Wielka Brytania,0,66,0%,36.8
Kanada,0,28,0%,49.86
Niemcy,0,19,0%,50.32
Australia,0,15,0%,51.93
Holandia,0,13,0%,34.15
Brazylia,0,11,0%,24.27
Filipiny,0,8,0%,8.25
Indie,0,8,0%,16.75
Rosja,0,7,0%,6.29
Włochy,0,6,0%,10.83
Szwajcaria,0,5,0%,44
Szwecja,0,4,0%,9
Hiszpania,0,4,0%,12
Irlandia,0,4,0%,62.25
Nowa Zelandia,0,4,0%,64
Kenia,0,3,0%,8.33
Egipt,0,3,0%,13.33
Pakistan,0,2,0%,3.5
Serbia,0,2,0%,6
Japonia,0,2,0%,7
Francja,0,2,0%,7.5
Korea Południowa,0,2,0%,8
Izrael,0,2,0%,15
Turcja,0,2,0%,24.5
Andora,0,2,0%,35
Belgia,0,2,0%,39
Portugalia,0,2,0%,41.5
Norwegia,0,2,0%,76.5
Austria,0,2,0%,87.5
Wenezuela,0,1,0%,3
Maroko,0,1,0%,4
Chile,0,1,0%,5
Tajwan,0,1,0%,5
Portoryko,0,1,0%,7
Kolumbia,0,1,0%,8
Meksyk,0,1,0%,8
Arabia Saudyjska,0,1,0%,8
Armenia,0,1,0%,9
Bangladesz,0,1,0%,9
Białoruś,0,1,0%,9
Chiny,0,1,0%,9
Jamajka,0,1,0%,9
Kostaryka,0,1,0%,10
Hongkong,0,1,0%,10
Bułgaria,0,1,0%,11
Indonezja,0,1,0%,11
Ekwador,0,1,0%,15
Kazachstan,0,1,0%,16
Węgry,0,1,0%,21
Irak,0,1,0%,22
Estonia,0,1,0%,23
Ghana,0,1,0%,26
Wietnam,0,1,0%,38
Algieria,0,1,0%,65
Finlandia,0,1,0%,75
Malawi,0,1,0%,75
