Data,Nie zindeksowano,Zindeksowano,Wyświetlenia
2026-03-30,,,8
2026-03-31,3,15,8
2026-04-01,3,15,9
2026-04-02,3,15,11
2026-04-03,3,15,10
2026-04-04,3,15,3
2026-04-05,3,15,7
2026-04-06,3,15,13
2026-04-07,3,15,12
2026-04-08,3,15,16
2026-04-09,3,15,9
2026-04-10,3,15,8
2026-04-11,5,18,11
2026-04-12,5,18,8
2026-04-13,5,18,8
2026-04-14,5,18,16
2026-04-15,5,18,17
2026-04-16,5,18,21
2026-04-17,5,18,12
2026-04-18,12,18,5
2026-04-19,12,18,7
2026-04-20,12,18,12
2026-04-21,6,26,13
2026-04-22,6,26,10
2026-04-23,6,26,29
2026-04-24,6,26,7
2026-04-25,6,27,9
2026-04-26,6,27,16
2026-04-27,6,27,13
2026-04-28,7,57,6
2026-04-29,7,57,26
2026-04-30,7,57,12
2026-05-01,7,57,17
2026-05-02,7,64,21
2026-05-03,7,64,14
2026-05-04,7,64,51
2026-05-05,49,129,23
2026-05-06,49,129,23
2026-05-07,49,129,29
2026-05-08,49,129,77
2026-05-09,18,199,88
2026-05-10,18,199,50
2026-05-11,18,199,108
2026-05-12,9,209,76
2026-05-13,9,209,138
2026-05-14,9,209,167
2026-05-15,9,209,159
2026-05-16,9,209,108
2026-05-17,9,209,217
2026-05-18,9,209,204
2026-05-19,9,209,119
2026-05-20,9,209,119
2026-05-21,9,209,101
2026-05-22,9,209,128
2026-05-23,9,209,153
2026-05-24,9,209,246
2026-05-25,9,209,267
2026-05-26,9,209,220
2026-05-27,9,209,179
2026-05-28,9,209,150
2026-05-29,9,209,248
2026-05-30,11,207,141
2026-05-31,11,207,284
2026-06-01,11,207,133
2026-06-02,26,200,136
2026-06-03,26,200,154
2026-06-04,26,200,154
2026-06-05,26,200,173
2026-06-06,30,202,194
2026-06-07,30,202,155
2026-06-08,30,202,172
2026-06-09,34,205,246
2026-06-10,34,205,197
2026-06-11,34,205,233
2026-06-12,34,205,196
