Kraj,Kliknięcia,Wyświetlenia,CTR,Pozycja
Turcja,1,52,1.92%,31.46
Argentyna,1,2,50%,4.5
Stany Zjednoczone,0,1286,0%,42.79
Wielka Brytania,0,216,0%,43.47
Wietnam,0,147,0%,31.52
Kanada,0,44,0%,39.45
Rosja,0,43,0%,31.77
Tajlandia,0,40,0%,33.88
Indonezja,0,35,0%,29.11
Filipiny,0,32,0%,27.06
Francja,0,30,0%,27.63
Ukraina,0,29,0%,28.1
Niemcy,0,29,0%,30.41
Meksyk,0,27,0%,26.93
Arabia Saudyjska,0,24,0%,28.33
Maroko,0,24,0%,31.25
Hiszpania,0,23,0%,25.39
Polska,0,22,0%,30.82
Jordania,0,22,0%,31.77
Indie,0,22,0%,32.86
Algieria,0,19,0%,32.68
Japonia,0,17,0%,28.35
Brazylia,0,15,0%,13.87
Australia,0,15,0%,41.2
Bangladesz,0,13,0%,29.92
Malezja,0,13,0%,30.54
Irak,0,11,0%,33.82
Pakistan,0,9,0%,27.33
Belgia,0,9,0%,40.22
Szwajcaria,0,6,0%,45.33
Izrael,0,6,0%,65.17
Holandia,0,4,0%,47
Nowa Zelandia,0,3,0%,11.67
Rumunia,0,3,0%,35.33
Republika Południowej Afryki,0,3,0%,39.33
Słowacja,0,2,0%,2
Portugalia,0,2,0%,4.5
Singapur,0,2,0%,6.5
Urugwaj,0,2,0%,7
Austria,0,2,0%,8.5
Włochy,0,2,0%,17.5
Irlandia,0,2,0%,21
Egipt,0,2,0%,67
Korea Południowa,0,2,0%,117.5
Gwatemala,0,1,0%,4
Serbia,0,1,0%,5
Armenia,0,1,0%,7
Kolumbia,0,1,0%,8
Myanmar (Birma),0,1,0%,10
Syria,0,1,0%,12
Chiny,0,1,0%,18
Norwegia,0,1,0%,22
Tunezja,0,1,0%,25
Andora,0,1,0%,28
Afganistan,0,1,0%,50
