Kraj,Kliknięcia,Wyświetlenia,CTR,Pozycja
Stany Zjednoczone,2,499,0.4%,17.73
Polska,2,67,2.99%,8.64
Niemcy,2,46,4.35%,7.54
Argentyna,1,17,5.88%,9.12
Korea Południowa,1,8,12.5%,25.5
Brazylia,0,115,0%,9.06
Wielka Brytania,0,100,0%,50.31
Japonia,0,54,0%,8.24
Kanada,0,53,0%,16.83
Francja,0,49,0%,8.71
Hiszpania,0,43,0%,9.44
Meksyk,0,38,0%,8.63
Filipiny,0,17,0%,10.12
Szwajcaria,0,11,0%,8.73
Australia,0,11,0%,11.55
Chile,0,9,0%,8.89
Belgia,0,8,0%,6.75
Indonezja,0,7,0%,6.71
Kolumbia,0,5,0%,7.6
Kenia,0,4,0%,1
Wenezuela,0,4,0%,8.75
Indie,0,4,0%,30.5
Nowa Zelandia,0,4,0%,65.25
Rosja,0,3,0%,4
Wietnam,0,3,0%,5.33
Jamajka,0,3,0%,7
Hongkong,0,3,0%,7.33
Republika Południowej Afryki,0,3,0%,8.33
Austria,0,3,0%,9
Gwatemala,0,3,0%,9
Boliwia,0,3,0%,11
Kirgistan,0,2,0%,1
Tunezja,0,2,0%,1
Chorwacja,0,2,0%,6
Szwecja,0,2,0%,6
Włochy,0,2,0%,6.5
Paragwaj,0,2,0%,6.5
Portoryko,0,2,0%,7.5
Dania,0,2,0%,9
Peru,0,2,0%,9
Maroko,0,2,0%,10.5
Kostaryka,0,2,0%,11.5
Ekwador,0,2,0%,24.5
Białoruś,0,1,0%,1
Litwa,0,1,0%,1
Dominikana,0,1,0%,5
Demokratyczna Republika Konga,0,1,0%,6
Kuba,0,1,0%,6
Kazachstan,0,1,0%,6
Grecja,0,1,0%,7
Salwador,0,1,0%,7
Etiopia,0,1,0%,8
Finlandia,0,1,0%,8
Rumunia,0,1,0%,8
Albania,0,1,0%,9
Bermudy,0,1,0%,9
Czechy,0,1,0%,9
Panama,0,1,0%,9
Portugalia,0,1,0%,9
Słowacja,0,1,0%,9
Urugwaj,0,1,0%,9
Bangladesz,0,1,0%,10
Malta,0,1,0%,10
Holandia,0,1,0%,10
Senegal,0,1,0%,10
Honduras,0,1,0%,17
Turcja,0,1,0%,29
Pakistan,0,1,0%,72
