Kraj,Ostatnich 28 dni Kliknięcia,Poprzednich 28 dni Kliknięcia,Ostatnich 28 dni Wyświetlenia,Poprzednich 28 dni Wyświetlenia,Ostatnich 28 dni CTR,Poprzednich 28 dni CTR,Ostatnich 28 dni Pozycja,Poprzednich 28 dni Pozycja
Białoruś,2,0,2,0,100%,0%,24.5,0
Stany Zjednoczone,0,0,51,70,0%,0%,22.82,20.06
Wielka Brytania,0,0,5,10,0%,0%,16.6,13.6
Kanada,0,0,3,9,0%,0%,22,18.67
Australia,0,0,2,2,0%,0%,19,16
Indie,0,0,1,5,0%,0%,13,15.8
Indonezja,0,0,1,0,0%,0%,18,0
Holandia,0,0,1,0,0%,0%,19,0
Niemcy,0,0,1,2,0%,0%,36,10.5
Francja,0,0,0,1,0%,0%,0,10
Nowa Zelandia,0,0,0,1,0%,0%,0,14
Hiszpania,0,0,0,1,0%,0%,0,19
