Kraj,Ostatnich 28 dni Kliknięcia,Poprzednich 28 dni Kliknięcia,Ostatnich 28 dni Wyświetlenia,Poprzednich 28 dni Wyświetlenia,Ostatnich 28 dni CTR,Poprzednich 28 dni CTR,Ostatnich 28 dni Pozycja,Poprzednich 28 dni Pozycja
Stany Zjednoczone,0,0,391,111,0%,0%,27.79,27.16
Kanada,0,0,9,0,0%,0%,24.44,0
Niemcy,0,0,4,1,0%,0%,17.25,10
Wielka Brytania,0,0,4,2,0%,0%,23.25,15.5
Hiszpania,0,0,3,0,0%,0%,16,0
Brazylia,0,0,2,0,0%,0%,20,0
Australia,0,0,2,0,0%,0%,21.5,0
Tajlandia,0,0,2,0,0%,0%,21.5,0
Jordania,0,0,1,0,0%,0%,11,0
Turcja,0,0,1,1,0%,0%,20,23
Irlandia,0,0,1,0,0%,0%,21,0
Norwegia,0,0,1,0,0%,0%,22,0
Rumunia,0,0,1,0,0%,0%,22,0
Austria,0,0,1,0,0%,0%,23,0
Włochy,0,0,1,1,0%,0%,23,39
Wietnam,0,0,1,0,0%,0%,32,0
Indonezja,0,0,1,0,0%,0%,35,0
Szwecja,0,0,0,1,0%,0%,0,24
Białoruś,0,0,0,1,0%,0%,0,33
Holandia,0,0,0,1,0%,0%,0,34
