Kraj,Ostatnich 28 dni Kliknięcia,Poprzednich 28 dni Kliknięcia,Ostatnich 28 dni Wyświetlenia,Poprzednich 28 dni Wyświetlenia,Ostatnich 28 dni CTR,Poprzednich 28 dni CTR,Ostatnich 28 dni Pozycja,Poprzednich 28 dni Pozycja
Stany Zjednoczone,0,0,5,10,0%,0%,14.4,41.8
Wielka Brytania,0,0,5,1,0%,0%,16,41
Kanada,0,0,1,0,0%,0%,1,0
Portugalia,0,0,1,0,0%,0%,8,0
Maroko,0,0,1,0,0%,0%,11,0
Malezja,0,0,1,0,0%,0%,19,0
Filipiny,0,0,1,0,0%,0%,21,0
Australia,0,0,1,0,0%,0%,30,0
Włochy,0,0,0,2,0%,0%,0,37
Austria,0,0,0,1,0%,0%,0,1
