Kraj,Ostatnich 28 dni Kliknięcia,Poprzednich 28 dni Kliknięcia,Ostatnich 28 dni Wyświetlenia,Poprzednich 28 dni Wyświetlenia,Ostatnich 28 dni CTR,Poprzednich 28 dni CTR,Ostatnich 28 dni Pozycja,Poprzednich 28 dni Pozycja
Stany Zjednoczone,0,0,504,506,0%,0%,37.58,34.24
Kanada,0,0,25,37,0%,0%,32.44,31.54
Hiszpania,0,0,15,9,0%,0%,21.73,30.11
Wielka Brytania,0,0,12,55,0%,0%,23.25,23.24
Belgia,0,0,11,4,0%,0%,24.18,36.5
Niemcy,0,0,11,20,0%,0%,30,32.15
Szwajcaria,0,0,7,3,0%,0%,33.57,31.33
Australia,0,0,6,27,0%,0%,21.5,24.41
Holandia,0,0,6,15,0%,0%,38.17,33.67
Meksyk,0,0,5,2,0%,0%,22.8,42.5
Irlandia,0,0,4,6,0%,0%,34,25
Japonia,0,0,4,2,0%,0%,34.25,39
Rosja,0,0,4,2,0%,0%,44.25,47.5
Nowa Zelandia,0,0,3,8,0%,0%,21.67,27.62
Włochy,0,0,3,4,0%,0%,24.33,34.25
Turcja,0,0,2,1,0%,0%,27.5,42
Austria,0,0,2,2,0%,0%,30,27.5
Arabia Saudyjska,0,0,2,1,0%,0%,33.5,35
Indonezja,0,0,2,1,0%,0%,35.5,36
Białoruś,0,0,1,0,0%,0%,1,0
Kirgistan,0,0,1,0,0%,0%,1,0
Węgry,0,0,1,1,0%,0%,3,26
Maroko,0,0,1,0,0%,0%,18,0
Norwegia,0,0,1,1,0%,0%,21,26
Indie,0,0,1,3,0%,0%,23,39
Grecja,0,0,1,1,0%,0%,26,27
Andora,0,0,1,1,0%,0%,28,25
Ukraina,0,0,1,2,0%,0%,28,37
Wietnam,0,0,1,1,0%,0%,29,48
Polska,0,0,1,1,0%,0%,30,41
Algieria,0,0,1,0,0%,0%,33,0
Chile,0,0,1,0,0%,0%,38,0
Izrael,0,0,1,1,0%,0%,38,23
Irak,0,0,1,0,0%,0%,42,0
Jordania,0,0,1,0,0%,0%,45,0
Brazylia,0,0,1,1,0%,0%,68,38
Zjednoczone Emiraty Arabskie,0,0,0,3,0%,0%,0,33
Francja,0,0,0,2,0%,0%,0,20.5
Dania,0,0,0,2,0%,0%,0,24
Paragwaj,0,0,0,1,0%,0%,0,11
Portugalia,0,0,0,1,0%,0%,0,22
Estonia,0,0,0,1,0%,0%,0,24
Rumunia,0,0,0,1,0%,0%,0,24
Islandia,0,0,0,1,0%,0%,0,25
Pakistan,0,0,0,1,0%,0%,0,25
Chorwacja,0,0,0,1,0%,0%,0,31
Kazachstan,0,0,0,1,0%,0%,0,33
Dominikana,0,0,0,1,0%,0%,0,35
